Uniprot Accession	Description	Gene name	MW [kDa]	COG class	Annotated functional COG group (description)	Annotated functional COG class
P0A6Y8	Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2	dnaK	69.05447444	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A705	Translation initiation factor IF-2 OS=Escherichia coli (strain K12) GN=infB PE=1 SV=1	infB	79.67811829	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P05793	Ketol-acid reductoisomerase OS=Escherichia coli (strain K12) GN=ilvC PE=1 SV=4	ilvC	54.01626705	EH	Amino acid transport and metabolism	METABOLISM
P00864	Phosphoenolpyruvate carboxylase OS=Escherichia coli (strain K12) GN=ppc PE=1 SV=1	ppc	98.98223464	C	Energy production and conversion	METABOLISM
P00957	Alanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=alaS PE=1 SV=2	alaS	95.95464438	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A6M8	Elongation factor G OS=Escherichia coli (strain K12) GN=fusA PE=1 SV=2	fusA	77.51447523	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P00961	Glycyl-tRNA synthetase beta subunit OS=Escherichia coli (strain K12) GN=glyS PE=1 SV=4	glyS	76.74696578	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P76558	NADP-dependent malic enzyme OS=Escherichia coli (strain K12) GN=maeB PE=1 SV=1	maeB	82.34678295	C	Energy production and conversion	METABOLISM
P0AG67	30S ribosomal protein S1 OS=Escherichia coli (strain K12) GN=rpsA PE=1 SV=1	rpsA	61.1027043	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P07813	Leucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=leuS PE=1 SV=2	leuS	97.15328428	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P00561	Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2	thrA	89.04579557	E	Amino acid transport and metabolism	METABOLISM
P0AFG3	2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=sucA PE=1 SV=1	sucA	104.9775259	C	Energy production and conversion	METABOLISM
P00956	Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5	ileS	104.2125396	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P25553	Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=aldA PE=1 SV=2	aldA	52.22171682	C	Energy production and conversion	METABOLISM
P10408	Protein translocase subunit secA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2	secA	101.9409335	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
P21889	Aspartyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=aspS PE=1 SV=1	aspS	65.85362132	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P07395	Phenylalanyl-tRNA synthetase beta chain OS=Escherichia coli (strain K12) GN=pheT PE=1 SV=2	pheT	87.30538731	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P07118	Valyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=valS PE=1 SV=2	valS	108.1056884	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P23847	Periplasmic dipeptide transport protein OS=Escherichia coli (strain K12) GN=dppA PE=1 SV=1	dppA	60.23723952	E	Amino acid transport and metabolism	METABOLISM
P06959	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3	aceF	66.03677654	C	Energy production and conversion	METABOLISM
P13029	Catalase-peroxidase OS=Escherichia coli (strain K12) GN=katG PE=1 SV=2	katG	79.95611435	P	Inorganic ion transport and metabolism	METABOLISM
P0AES4	DNA gyrase subunit A OS=Escherichia coli (strain K12) GN=gyrA PE=1 SV=1	gyrA	96.88540294	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P08200	Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1	icd	45.70946787	C	Energy production and conversion	METABOLISM
P0ABB4	ATP synthase subunit beta OS=Escherichia coli (strain K12) GN=atpD PE=1 SV=2	atpD	50.27581931	C	Energy production and conversion	METABOLISM
P04825	Aminopeptidase N OS=Escherichia coli (strain K12) GN=pepN PE=1 SV=2	pepN	98.83872264	E	Amino acid transport and metabolism	METABOLISM
P0AD61	Pyruvate kinase I OS=Escherichia coli (strain K12) GN=pykF PE=1 SV=1	pykF	50.67924536	G	Carbohydrate transport and metabolism	METABOLISM
P0A9G6	Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1	aceA	47.47357659	C	Energy production and conversion	METABOLISM
P0AC33	Fumarate hydratase class I, aerobic OS=Escherichia coli (strain K12) GN=fumA PE=1 SV=2	fumA	60.24256175	C	Energy production and conversion	METABOLISM
P09546	Bifunctional protein putA OS=Escherichia coli (strain K12) GN=putA PE=1 SV=3	putA	143.7073978	C	Energy production and conversion	METABOLISM
P21179	Catalase HPII OS=Escherichia coli (strain K12) GN=katE PE=1 SV=1	katE	84.09242396	P	Inorganic ion transport and metabolism	METABOLISM
P0A6Z3	Chaperone protein htpG OS=Escherichia coli (strain K12) GN=htpG PE=1 SV=1	htpG	71.36033894	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A6P1	Elongation factor Ts OS=Escherichia coli (strain K12) GN=tsf PE=1 SV=2	tsf	30.38576806	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P08839	Phosphoenolpyruvate-protein phosphotransferase OS=Escherichia coli (strain K12) GN=ptsI PE=1 SV=1	ptsI	63.50389517	G	Carbohydrate transport and metabolism	METABOLISM
P0A6E4	Argininosuccinate synthase OS=Escherichia coli (strain K12) GN=argG PE=1 SV=2	argG	49.84881733	E	Amino acid transport and metabolism	METABOLISM
P0A6F3	Glycerol kinase OS=Escherichia coli (strain K12) GN=glpK PE=1 SV=2	glpK	56.17725025	C	Energy production and conversion	METABOLISM
P0A9M8	Phosphate acetyltransferase OS=Escherichia coli (strain K12) GN=pta PE=1 SV=2	pta	77.10588254	R	General function prediction only	POORLY CHARACTERIZED
P0A850	Trigger factor OS=Escherichia coli (strain K12) GN=tig PE=1 SV=1	tig	48.14485133	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A940	Outer membrane protein assembly factor yaeT OS=Escherichia coli (strain K12) GN=yaeT PE=1 SV=1	bamA	90.47846722	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P05055	Polyribonucleotide nucleotidyltransferase OS=Escherichia coli (strain K12) GN=pnp PE=1 SV=3	pnp	77.03497797	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A6T1	Glucose-6-phosphate isomerase OS=Escherichia coli (strain K12) GN=pgi PE=1 SV=1	pgi	61.47299513	G	Carbohydrate transport and metabolism	METABOLISM
P0AC41	Succinate dehydrogenase flavoprotein subunit OS=Escherichia coli (strain K12) GN=sdhA PE=1 SV=1	sdhA	64.36308691	C	Energy production and conversion	METABOLISM
P0A9M0	Lon protease OS=Escherichia coli (strain K12) GN=lon PE=1 SV=1	lon	87.36480487	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P27550	Acetyl-coenzyme A synthetase OS=Escherichia coli (strain K12) GN=acs PE=1 SV=2	acs	72.03023532	I	Lipid transport and metabolism	METABOLISM
P23538	Phosphoenolpyruvate synthase OS=Escherichia coli (strain K12) GN=ppsA PE=1 SV=5	ppsA	87.36160027	G	Carbohydrate transport and metabolism	METABOLISM
P04079	GMP synthase [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) GN=guaA PE=1 SV=1	guaA	58.62386483	F	Nucleotide transport and metabolism	METABOLISM
P22523	Chromosome partition protein mukB OS=Escherichia coli (strain K12) GN=mukB PE=1 SV=2	mukB	170.1075558	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P0A9W3	Uncharacterized ABC transporter ATP-binding protein YjjK OS=Escherichia coli (strain K12) GN=yjjK PE=1 SV=2	yjjK	62.38625685	R	General function prediction only	POORLY CHARACTERIZED
P0AES6	DNA gyrase subunit B OS=Escherichia coli (strain K12) GN=gyrB PE=1 SV=2	gyrB	89.87587852	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P21513	Ribonuclease E OS=Escherichia coli (strain K12) GN=rne PE=1 SV=6	rne	118.1068771	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A8M3	Threonyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=thrS PE=1 SV=1	thrS	73.94879422	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A799	Phosphoglycerate kinase OS=Escherichia coli (strain K12) GN=pgk PE=1 SV=2	pgk	41.07462371	G	Carbohydrate transport and metabolism	METABOLISM
P00370	NADP-specific glutamate dehydrogenase OS=Escherichia coli (strain K12) GN=gdhA PE=1 SV=1	gdhA	48.53235541	E	Amino acid transport and metabolism	METABOLISM
P0A825	Serine hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=glyA PE=1 SV=1	glyA	45.26996251	E	Amino acid transport and metabolism	METABOLISM
P23843	Periplasmic oligopeptide-binding protein OS=Escherichia coli (strain K12) GN=oppA PE=1 SV=2	oppA	60.84291364	E	Amino acid transport and metabolism	METABOLISM
P0A9A6	Cell division protein ftsZ OS=Escherichia coli (strain K12) GN=ftsZ PE=1 SV=1	ftsZ	40.28055906	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P08997	Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1	aceB	60.21752759	C	Energy production and conversion	METABOLISM
P33602	NADH-quinone oxidoreductase subunit G OS=Escherichia coli (strain K12) GN=nuoG PE=1 SV=4	nuoG	100.2179683	C	Energy production and conversion	METABOLISM
P17846	Sulfite reductase [NADPH] hemoprotein beta-component OS=Escherichia coli (strain K12) GN=cysI PE=1 SV=4	cysI	63.93993503	P	Inorganic ion transport and metabolism	METABOLISM
P00582	DNA polymerase I OS=Escherichia coli (strain K12) GN=polA PE=1 SV=1	polA	103.0355166	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0A9B2	Glyceraldehyde-3-phosphate dehydrogenase A OS=Escherichia coli (strain K12) GN=gapA PE=1 SV=2	gapA	35.4922309	G	Carbohydrate transport and metabolism	METABOLISM
P15639	Bifunctional purine biosynthesis protein purH OS=Escherichia coli (strain K12) GN=purH PE=1 SV=1	purH	57.27498651	F	Nucleotide transport and metabolism	METABOLISM
P0A853	Tryptophanase OS=Escherichia coli (strain K12) GN=tnaA PE=1 SV=1	tnaA	52.72157894	E	Amino acid transport and metabolism	METABOLISM
P25516	Aconitate hydratase 1 OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3	acnA	97.59774141	C	Energy production and conversion	METABOLISM
P33599	NADH-quinone oxidoreductase subunit C/D OS=Escherichia coli (strain K12) GN=nuoC PE=1 SV=3	nuoC	68.17453178	C	Energy production and conversion	METABOLISM
P0A9C5	Glutamine synthetase OS=Escherichia coli (strain K12) GN=glnA PE=1 SV=2	glnA	51.85271686	E	Amino acid transport and metabolism	METABOLISM
P09151	2-isopropylmalate synthase OS=Escherichia coli (strain K12) GN=leuA PE=1 SV=5	leuA	57.24409138	E	Amino acid transport and metabolism	METABOLISM
P37685	Aldehyde dehydrogenase B OS=Escherichia coli (strain K12) GN=aldB PE=1 SV=2	aldB	56.25247906	C	Energy production and conversion	METABOLISM
P06149	D-lactate dehydrogenase OS=Escherichia coli (strain K12) GN=dld PE=1 SV=3	dld	64.55360212	C	Energy production and conversion	METABOLISM
P37330	Malate synthase G OS=Escherichia coli (strain K12) GN=glcB PE=1 SV=3	glcB	80.41985713	C	Energy production and conversion	METABOLISM
P0ABH7	Citrate synthase OS=Escherichia coli (strain K12) GN=gltA PE=1 SV=1	gltA	47.96589357	C	Energy production and conversion	METABOLISM
P35340	Alkyl hydroperoxide reductase subunit F OS=Escherichia coli (strain K12) GN=ahpF PE=1 SV=2	ahpF	56.12408085	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A910	Outer membrane protein A OS=Escherichia coli (strain K12) GN=ompA PE=1 SV=1	ompA	37.15964679	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P17169	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) GN=glmS PE=1 SV=4	glmS	66.83461906	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P16659	Prolyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=proS PE=1 SV=4	proS	63.63468294	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P60422	50S ribosomal protein L2 OS=Escherichia coli (strain K12) GN=rplB PE=1 SV=2	rplB	29.82400117	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P00452	Ribonucleoside-diphosphate reductase 1 subunit alpha OS=Escherichia coli (strain K12) GN=nrdA PE=1 SV=2	nrdA	82.78958209	F	Nucleotide transport and metabolism	METABOLISM
P27298	Oligopeptidase A OS=Escherichia coli (strain K12) GN=prlC PE=3 SV=3	prlC	77.100625	E	Amino acid transport and metabolism	METABOLISM
P0A6B7	Cysteine desulfurase OS=Escherichia coli (strain K12) GN=iscS PE=1 SV=1	iscS	45.04291969	E	Amino acid transport and metabolism	METABOLISM
P13035	Aerobic glycerol-3-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=glpD PE=1 SV=3	glpD	56.69706997	C	Energy production and conversion	METABOLISM
P0ABB0	ATP synthase subunit alpha OS=Escherichia coli (strain K12) GN=atpA PE=1 SV=1	atpA	55.16973662	C	Energy production and conversion	METABOLISM
P38038	Sulfite reductase [NADPH] flavoprotein alpha-component OS=Escherichia coli (strain K12) GN=cysJ PE=1 SV=4	cysJ	66.21086614	P	Inorganic ion transport and metabolism	METABOLISM
P0AAI3	ATP-dependent zinc metalloprotease FtsH OS=Escherichia coli (strain K12) GN=ftsH PE=1 SV=1	ftsH	70.6454092	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0AG30	Transcription termination factor Rho OS=Escherichia coli (strain K12) GN=rho PE=1 SV=1	rho	46.95659013	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A817	S-adenosylmethionine synthase OS=Escherichia coli (strain K12) GN=metK PE=1 SV=2	metK	41.9071862	H	Coenzyme transport and metabolism	METABOLISM
P0ADG7	Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli (strain K12) GN=guaB PE=1 SV=1	guaB	51.97201166	F	Nucleotide transport and metabolism	METABOLISM
Q59385	Copper-exporting P-type ATPase A OS=Escherichia coli (strain K12) GN=copA PE=1 SV=4	copA	87.79979865	P	Inorganic ion transport and metabolism	METABOLISM
P0AFF6	Transcription elongation protein nusA OS=Escherichia coli (strain K12) GN=nusA PE=1 SV=1	nusA	54.81906259	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A7Z4	DNA-directed RNA polymerase subunit alpha OS=Escherichia coli (strain K12) GN=rpoA PE=1 SV=1	rpoA	36.47113747	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A8N3	Lysyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=lysS PE=1 SV=2	lysS	57.54912811	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P00959	Methionyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=metG PE=1 SV=2	metG	76.18810041	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P00350	6-phosphogluconate dehydrogenase, decarboxylating OS=Escherichia coli (strain K12) GN=gnd PE=1 SV=2	gnd	51.43130094	G	Carbohydrate transport and metabolism	METABOLISM
P0AEE5	D-galactose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=mglB PE=1 SV=1	mglB	35.67235627	G	Carbohydrate transport and metabolism	METABOLISM
P0AD96	Leu/Ile/Val-binding protein OS=Escherichia coli (strain K12) GN=livJ PE=1 SV=1	livJ	39.0339819	E	Amino acid transport and metabolism	METABOLISM
P13009	Methionine synthase OS=Escherichia coli (strain K12) GN=metH PE=1 SV=5	metH	135.8936125	E	Amino acid transport and metabolism	METABOLISM
P61889	Malate dehydrogenase OS=Escherichia coli (strain K12) GN=mdh PE=1 SV=1	mdh	32.29920422	C	Energy production and conversion	METABOLISM
P32132	GTP-binding protein typA/BipA OS=Escherichia coli (strain K12) GN=typA PE=1 SV=2	typA	67.29547014	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P77804	Protein ydgA OS=Escherichia coli (strain K12) GN=ydgA PE=1 SV=1	ydgA	54.63691746	S	Function unknown	POORLY CHARACTERIZED
P06971	Ferrichrome-iron receptor OS=Escherichia coli (strain K12) GN=fhuA PE=1 SV=2	fhuA	82.11329387	P	Inorganic ion transport and metabolism	METABOLISM
P0ADY1	Peptidyl-prolyl cis-trans isomerase D OS=Escherichia coli (strain K12) GN=ppiD PE=1 SV=1	ppiD	68.08975025	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P30850	Exoribonuclease 2 OS=Escherichia coli (strain K12) GN=rnb PE=1 SV=3	rnb	72.42722502	K	Transcription	INFORMATION STORAGE AND PROCESSING
P00962	Glutaminyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=glnS PE=1 SV=3	glnS	63.41978257	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AB71	Fructose-bisphosphate aldolase class 2 OS=Escherichia coli (strain K12) GN=fbaA PE=1 SV=2	fbaA	39.10459675	G	Carbohydrate transport and metabolism	METABOLISM
P0ABK5	Cysteine synthase A OS=Escherichia coli (strain K12) GN=cysK PE=1 SV=2	cysK	34.45028634	E	Amino acid transport and metabolism	METABOLISM
P0ACY3	Uncharacterized protein yeaG OS=Escherichia coli (strain K12) GN=yeaG PE=3 SV=1	yeaG	74.41557277	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P23845	Sulfate adenylyltransferase subunit 1 OS=Escherichia coli (strain K12) GN=cysN PE=1 SV=1	cysN	52.50801953	P	Inorganic ion transport and metabolism	METABOLISM
P23865	Tail-specific protease OS=Escherichia coli (strain K12) GN=prc PE=1 SV=2	prc	76.59769941	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P21177	Fatty acid oxidation complex subunit alpha OS=Escherichia coli (strain K12) GN=fadB PE=1 SV=2	fadB	79.52542988	I	Lipid transport and metabolism	METABOLISM
P36938	Phosphoglucomutase OS=Escherichia coli (strain K12) GN=pgm PE=1 SV=1	pgm	58.30646912	G	Carbohydrate transport and metabolism	METABOLISM
P0A870	Transaldolase B OS=Escherichia coli (strain K12) GN=talB PE=1 SV=2	talB	35.17930906	G	Carbohydrate transport and metabolism	METABOLISM
P68767	Cytosol aminopeptidase OS=Escherichia coli (strain K12) GN=pepA PE=1 SV=1	pepA	54.82696661	E	Amino acid transport and metabolism	METABOLISM
P00934	Threonine synthase OS=Escherichia coli (strain K12) GN=thrC PE=1 SV=1	thrC	47.0662141	E	Amino acid transport and metabolism	METABOLISM
P0A9P0	Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain K12) GN=lpdA PE=1 SV=2	lpdA	50.63858341	-		
P75691	Uncharacterized zinc-type alcohol dehydrogenase-like protein YahK OS=Escherichia coli (strain K12) GN=yahK PE=1 SV=1	yahK	37.93587879	R	General function prediction only	POORLY CHARACTERIZED
P0ABZ6	Chaperone surA OS=Escherichia coli (strain K12) GN=surA PE=1 SV=1	surA	47.23624996	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P21499	Ribonuclease R OS=Escherichia coli (strain K12) GN=rnr PE=1 SV=2	rnr	92.03350406	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A8M0	Asparaginyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=asnS PE=1 SV=2	asnS	52.51941644	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A8L1	Seryl-tRNA synthetase OS=Escherichia coli (strain K12) GN=serS PE=1 SV=1	serS	48.36552218	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AEX9	Maltose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=malE PE=1 SV=1	malE	43.34236867	G	Carbohydrate transport and metabolism	METABOLISM
P0A786	Aspartate carbamoyltransferase catalytic chain OS=Escherichia coli (strain K12) GN=pyrB PE=1 SV=2	pyrB	34.38775071	F	Nucleotide transport and metabolism	METABOLISM
P05791	Dihydroxy-acid dehydratase OS=Escherichia coli (strain K12) GN=ilvD PE=1 SV=5	ilvD	65.47183229	EG	Amino acid transport and metabolism	METABOLISM
P77748	Uncharacterized protein ydiJ OS=Escherichia coli (strain K12) GN=ydiJ PE=4 SV=1	ydiJ	113.1579224	C	Energy production and conversion	METABOLISM
P17315	Colicin I receptor OS=Escherichia coli (strain K12) GN=cirA PE=1 SV=2	cirA	73.83234947	P	Inorganic ion transport and metabolism	METABOLISM
P0ABH9	ATP-dependent Clp protease ATP-binding subunit ClpA OS=Escherichia coli (strain K12) GN=clpA PE=1 SV=1	clpA	84.13691889	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0C0V0	Protease do OS=Escherichia coli (strain K12) GN=degP PE=1 SV=1	degP	49.30544896	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P31554	LPS-assembly protein lptD OS=Escherichia coli (strain K12) GN=lptD PE=1 SV=2	lptD	89.59720601	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P06612	DNA topoisomerase 1 OS=Escherichia coli (strain K12) GN=topA PE=1 SV=2	topA	97.27030707	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P11875	Arginyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=argS PE=1 SV=1	argS	64.62381965	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P04805	Glutamyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=gltX PE=1 SV=1	gltX	53.76378958	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7V0	30S ribosomal protein S2 OS=Escherichia coli (strain K12) GN=rpsB PE=1 SV=2	rpsB	26.70879452	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P33363	Periplasmic beta-glucosidase OS=Escherichia coli (strain K12) GN=bglX PE=1 SV=2	bglX	83.38945193	G	Carbohydrate transport and metabolism	METABOLISM
P0C8J6	D-tagatose-1,6-bisphosphate aldolase subunit GatY OS=Escherichia coli (strain K12) GN=gatY PE=1 SV=1	gatY	30.77455511	G	Carbohydrate transport and metabolism	METABOLISM
P69786	PTS system glucose-specific EIICB component OS=Escherichia coli (strain K12) GN=ptsG PE=1 SV=1	ptsG	50.62574752	G	Carbohydrate transport and metabolism	METABOLISM
P05020	Dihydroorotase OS=Escherichia coli (strain K12) GN=pyrC PE=1 SV=2	pyrC	38.78458103	F	Nucleotide transport and metabolism	METABOLISM
P11447	Argininosuccinate lyase OS=Escherichia coli (strain K12) GN=argH PE=1 SV=3	argH	50.26864352	E	Amino acid transport and metabolism	METABOLISM
P22106	Asparagine synthetase B [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) GN=asnB PE=1 SV=3	asnB	62.60108381	E	Amino acid transport and metabolism	METABOLISM
P00509	Aspartate aminotransferase OS=Escherichia coli (strain K12) GN=aspC PE=1 SV=1	aspC	43.52799762	E	Amino acid transport and metabolism	METABOLISM
P0A836	Succinyl-CoA ligase [ADP-forming] subunit beta OS=Escherichia coli (strain K12) GN=sucC PE=1 SV=1	sucC	41.34864135	C	Energy production and conversion	METABOLISM
P0AGE9	Succinyl-CoA ligase [ADP-forming] subunit alpha OS=Escherichia coli (strain K12) GN=sucD PE=1 SV=2	sucD	29.74052945	C	Energy production and conversion	METABOLISM
P0A6H1	ATP-dependent Clp protease ATP-binding subunit ClpX OS=Escherichia coli (strain K12) GN=clpX PE=1 SV=2	clpX	46.30917173	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A6H5	ATP-dependent protease ATPase subunit HslU OS=Escherichia coli (strain K12) GN=hslU PE=1 SV=1	hslU	49.54484377	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P30958	Transcription-repair-coupling factor OS=Escherichia coli (strain K12) GN=mfd PE=1 SV=2	mfd	129.8832773	LK	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P08312	Phenylalanyl-tRNA synthetase alpha chain OS=Escherichia coli (strain K12) GN=pheS PE=1 SV=2	pheS	36.79065689	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
